step	epoch
49	0
99	0
149	0
199	0
218	0
218	0
249	1
299	1
349	1
399	1
437	1
437	1
449	2
499	2
549	2
599	2
649	2
656	2
656	2
699	3
749	3
799	3
849	3
875	3
875	3
899	4
949	4
999	4
1049	4
1094	4
1094	4
1099	5
1149	5
1199	5
1249	5
1299	5
1313	5
1313	5
1349	6
1399	6
1449	6
1499	6
1532	6
1532	6
1549	7
1599	7
1649	7
1699	7
1749	7
1751	7
1751	7
1799	8
1849	8
1899	8
1949	8
1970	8
1970	8
1999	9
2049	9
2099	9
2149	9
2189	9
2189	9
2199	10
2249	10
2299	10
2349	10
2399	10
2408	10
2408	10
2449	11
2499	11
2549	11
2599	11
2627	11
2627	11
2649	12
2699	12
2749	12
2799	12
2846	12
2846	12
2849	13
2899	13
2949	13
2999	13
3049	13
3065	13
3065	13
3099	14
3149	14
3199	14
3249	14
3284	14
3284	14
3299	15
3349	15
3399	15
3449	15
3499	15
3503	15
3503	15
3549	16
3599	16
3649	16
3699	16
3722	16
3722	16
3749	17
3799	17
3849	17
3899	17
3941	17
3941	17
3949	18
3999	18
4049	18
4099	18
4149	18
4160	18
4160	18
4199	19
4249	19
4299	19
4349	19
4379	19
4379	19
