step	training_acc_step
49	0.421875
99	0.890625
149	0.953125
199	0.984375
249	1.0
299	0.984375
349	1.0
399	0.96875
449	0.984375
499	1.0
549	0.984375
599	0.984375
649	1.0
699	1.0
749	1.0
799	1.0
849	1.0
899	1.0
949	1.0
999	1.0
1049	1.0
1099	1.0
1149	1.0
1199	1.0
1249	1.0
1299	1.0
1349	1.0
1399	1.0
1449	0.984375
1499	1.0
1549	1.0
1599	1.0
1649	1.0
1699	1.0
1749	1.0
1799	1.0
1849	1.0
1899	1.0
1949	1.0
1999	1.0
2049	1.0
2099	1.0
2149	1.0
2199	1.0
2249	1.0
2299	1.0
2349	1.0
2399	1.0
2449	1.0
2499	1.0
2549	1.0
2599	1.0
